tid,toi,toidisplay,tfopwg_disp,disposition_group,target_confirmed_planet,target_label_name,pl_orbper,pl_rade,st_tmag,st_teff,st_rad,missing_feature_count,missing_feature_names,rowupdate,release_date,planet_probability,priority_score
372264750,1355.01,TOI-1355.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.1702725,15.2590586,8.65269,9218.0,1.8527499,0,,2023-05-19 16:02:01,2026-05-15 16:14:29,0.475,0.44333670345031606
277566483,1356.01,TOI-1356.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,24.2544697,,8.9468,8381.3,,2,pl_rade;st_rad,2023-05-19 10:10:02,2026-05-15 16:14:29,0.065,0.2005740989438407
277447970,1361.01,TOI-1361.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.237462,10.2256,10.2202,7050.0,1.66,0,,2025-05-06 16:00:01,2026-05-15 16:14:29,0.05,0.21367626401590417
395142888,1362.01,TOI-1362.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.9173816,17.5081,9.7736,8129.0,7.39,0,,2024-11-15 16:02:02,2026-05-15 16:14:29,0.07,0.22858194352629488
26880783,1364.01,TOI-1364.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.7753644,9.49405,9.2118,9598.0,3.23,0,,2024-11-05 10:08:02,2026-05-15 16:14:29,0.015,0.2072387560356323
352239069,1404.01,TOI-1404.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.8674054,2.4024,10.9425,6051.5,1.03,0,,2023-07-06 16:02:02,2026-05-15 16:14:29,0.385,0.3732739665830684
352239069,1404.02,TOI-1404.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,14.431887,3.73311,10.9425,6051.5,1.03,0,,2023-07-06 16:02:02,2026-05-15 16:14:29,0.405,0.3826024067835399
115771549,1409.01,TOI-1409.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,4.7182888,15.2763,8.3764,6112.0,2.74,0,,2022-12-05 16:02:02,2026-05-15 16:14:29,0.555,0.4862211349011677
116483734,1412.01,TOI-1412.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,4.731977,6.97384,11.0997,4223.45,0.66,0,,2022-09-02 16:02:01,2026-05-15 16:14:29,0.795,0.5764132397691814
119700084,1413.01,TOI-1413.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.1182129,6.1579891,10.1188,5427.0,0.890109,0,,2022-12-05 16:02:02,2026-05-15 16:14:29,0.705,0.542073453006751
125442121,1414.01,TOI-1414.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,3.0197807,17.9176077,11.029,7128.0,1.58815,0,,2023-01-31 14:54:33,2026-05-15 16:14:29,0.64,0.49978089244612584
148782377,1415.01,TOI-1415.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,14.4204896,4.7909139,8.39816,6383.0,1.41048,0,,2025-07-24 16:00:02,2026-05-15 16:14:29,0.79,0.6029513059742926
162130054,1371.01,TOI-1371.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,5.0095595,36.2553,9.948,6527.0,1.75,0,,2022-12-05 16:02:02,2026-05-15 16:14:29,0.205,0.2940036502770236
252490659,1379.01,TOI-1379.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,1132.0244686,30.6957,10.3842,5984.0,2.07,0,,2023-01-30 16:02:02,2026-05-15 16:14:29,0.16,0.272041962411974
277683130,138.01,TOI-138.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,6.1982658,7.84585,9.5739,5722.0,1.11,0,,2023-11-16 16:02:02,2026-05-15 16:14:29,0.46,0.4255331221330109
275722992,1381.01,TOI-1381.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.5601782,28.2675,10.379,9976.0,2.62,0,,2024-10-31 10:08:01,2026-05-15 16:14:29,0.025,0.1992012853335735
353038705,1389.01,TOI-1389.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.062624,,9.957501,5086.8,,2,pl_rade;st_rad,2022-11-15 17:58:42,2026-05-15 16:14:29,0.02,0.16817301445960392
66445643,1398.01,TOI-1398.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,6.5560604,13.1465,8.6291,8918.0,4.58,0,,2024-11-15 16:02:02,2026-05-15 16:14:29,0.115,0.26335456907800686
140068425,140.01,TOI-140.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,2.2813432,12.7387194,9.7828,6174.0,2.35511,0,,2023-11-15 16:02:02,2026-05-15 16:14:29,0.215,0.3009613030465291
259172391,1445.02,TOI-1445.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,4.7842093,2.14401,10.6074,6240.0,1.06,0,,2022-10-24 10:10:02,2026-05-15 16:14:29,0.345,0.3579421883328986
294471966,1446.01,TOI-1446.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.3170657,2.4720516,10.7502,5180.0,0.83031,0,,2023-03-15 10:10:02,2026-05-15 16:14:29,0.78,0.5728228547420583
294471966,1446.02,TOI-1446.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,4.5057387,1.7133121,10.7502,5180.0,0.83031,0,,2023-05-19 16:02:01,2026-05-15 16:14:29,0.705,0.5470527781431384
356158613,1449.02,TOI-1449.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.3691849,1.614201,10.745,5780.0,0.604385,0,,2023-03-15 10:10:02,2026-05-15 16:14:29,0.455,0.4295919696024161
265612438,145.01,TOI-145.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.13002,8.86428,11.6789,5430.7,1.58,0,,2021-12-07 16:02:02,2026-05-15 16:14:29,0.65,0.4975519505580996
294179385,1454.01,TOI-1454.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,2.6794168,13.6925582,11.1612,6075.0,1.14394,0,,2024-11-14 10:08:02,2026-05-15 16:14:29,0.85,0.6033525842877073
387259626,1455.01,TOI-1455.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,3.6231364,18.4921,10.1543,6458.8,1.35,0,,2025-07-23 16:00:01,2026-05-15 16:14:29,0.72,0.5493216225092652
176860064,1457.01,TOI-1457.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,6.3768174,,7.1145,6393.0,,2,pl_rade;st_rad,2025-05-02 16:23:22,2026-05-15 16:14:29,0.165,0.27160870336241816
425934411,142.01,TOI-142.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,0.8533534,12.600718,14.7109,3658.0,0.608076,0,,2024-04-25 10:08:01,2026-05-15 16:14:29,0.385,0.3321003657117114
350132371,1425.01,TOI-1425.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,1.0318213,28.2906,9.25755,5810.6,1.49,0,,2024-09-04 10:08:02,2026-05-15 16:14:29,0.28,0.3392787564253361
256783784,1432.01,TOI-1432.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,6.1095756,2.19963,9.4653,5587.0,0.91,0,,2023-09-19 12:03:04,2026-05-15 16:14:29,0.985,0.690058814000221
13684720,1433.01,TOI-1433.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,12.4379715,24.6478297,12.4647,3275.0,0.476997,0,,2022-02-10 16:02:01,2026-05-15 16:14:29,0.105,0.22162878969657243
138588540,1434.01,TOI-1434.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,29.871853,2.4078494,8.0621,5393.86,0.735511,0,,2025-08-01 10:05:58,2026-05-15 16:14:29,0.98,0.7010320476971753
153976959,1435.01,TOI-1435.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,0.6858178,0.9996714,9.9802,5142.0,0.82354,0,,2025-08-01 10:05:58,2026-05-15 16:14:29,0.505,0.5638880425186923
154383539,1436.01,TOI-1436.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,0.8675883,1.4302423,11.0906,5011.22,0.74524,0,,2022-12-12 16:02:01,2026-05-15 16:14:29,0.885,0.6648052485225423
233617847,1440.01,TOI-1440.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,15.5174519,2.43592,9.80972,5780.0,1.34,0,,2023-02-27 10:10:02,2026-05-15 16:14:29,0.53,0.45765276079134665
233617847,1440.02,TOI-1440.02,PC,candidate_for_prediction,,to_be_predicted_after_model_training,4.6274206,1.43332,9.80972,5780.0,1.34,0,,2023-05-25 16:02:01,2026-05-15 16:14:29,0.355,0.413090212816415
233951353,1441.01,TOI-1441.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,22.092974,2.33525,9.48477,5885.0,1.24,0,,2024-11-15 16:02:02,2026-05-15 16:14:29,0.64,0.5160179118392904
259172391,1445.01,TOI-1445.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,9.8130697,2.67352,10.6074,6240.0,1.06,0,,2022-10-24 10:10:02,2026-05-15 16:14:29,0.39,0.3790755323776628
44631965,1461.01,TOI-1461.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,3.5686777,20.2503751,11.3805,6046.0,1.28529,0,,2021-10-29 12:59:15,2026-05-15 16:14:29,0.415,0.3834035656261318
229944666,1464.01,TOI-1464.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,11.3125266,2.686447,10.8597,5290.0,0.854841,0,,2023-08-02 16:02:01,2026-05-15 16:14:29,0.855,0.6087280455951432
237086564,1466.01,TOI-1466.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,1.8718991,2.40733,11.0278,4201.0,0.75,0,,2022-12-07 16:02:01,2026-05-15 16:14:29,0.665,0.5126067862603898
431514478,1475.01,TOI-1475.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,8.4953513,5.2961699,8.77994,10012.0,1.88016,0,,2023-05-30 12:02:54,2026-05-15 16:14:29,0.095,0.2515973213629134
252616865,1482.01,TOI-1482.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.7121916,15.4584,10.0687,6720.0,1.79,0,,2024-11-15 16:02:02,2026-05-15 16:14:29,0.525,0.45264405818283704
260985861,149.01,TOI-149.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,3.3399432,,10.8727,5095.6,,2,pl_rade;st_rad,2024-02-23 10:08:02,2026-05-15 16:14:29,0.02,0.15814075431192798
283474780,1490.01,TOI-1490.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,3.9943,11.9767,8.39511,4939.0,5.11,0,,2023-06-18 12:02:58,2026-05-15 16:14:29,0.09,0.25355602277564704
53875855,1491.01,TOI-1491.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,4.4902667,5.56985,10.3996,5899.0,1.23,0,,2023-12-11 12:02:53,2026-05-15 16:14:29,0.26,0.3165892405850334
202375913,1527.01,TOI-1527.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,5.0625809,15.2343,9.6968,7664.0,2.76,0,,2025-05-02 16:23:22,2026-05-15 16:14:29,0.115,0.2517501866042864
285543785,1528.01,TOI-1528.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,9.9385448,,9.716,,,3,pl_rade;st_teff;st_rad,2024-08-24 10:08:02,2026-05-15 16:14:29,0.01,0.1487728451791147
231081369,153.01,TOI-153.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,7.6316384,12.4425,11.7349,6338.3,1.49,0,,2023-09-12 16:02:09,2026-05-15 16:14:29,0.485,0.4143019340209457
312678993,1531.01,TOI-1531.01,APC,candidate_for_prediction,,to_be_predicted_after_model_training,0.5175204,,8.3593,5095.6,,2,pl_rade;st_rad,2023-02-24 10:10:01,2026-05-15 16:14:29,0.025,0.18830515865542985
327579226,1532.01,TOI-1532.01,PC,candidate_for_prediction,,to_be_predicted_after_model_training,8.905407,12.3602,10.1786,6659.0,1.41,0,,2024-08-24 10:08:02,2026-05-15 16:14:29,0.54,0.45876619562135773
