tid,toi,toidisplay,tfopwg_disp,disposition_group,pl_orbper,pl_rade,st_tmag,st_teff,st_rad,missing_feature_count,missing_feature_names,rowupdate,release_date
308613965,3674.01,TOI-3674.01,PC,candidate_for_prediction,4.4619426,13.0569,13.128,5854.0,1.36,0,,2025-12-26 12:03:32,2026-05-15 16:14:29
34646336,3675.01,TOI-3675.01,PC,candidate_for_prediction,5.9577768,12.4756295,13.4326,5219.0,1.12249,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
302470965,3676.01,TOI-3676.01,PC,candidate_for_prediction,1.9341469,,13.3318,4828.4,,2,pl_rade;st_rad,2024-09-08 10:08:02,2026-05-15 16:14:29
458876004,3677.01,TOI-3677.01,FP,false_positive_or_alarm,3.6923071,14.2002,11.9814,8469.0,1.1,0,,2024-09-02 12:03:01,2026-05-15 16:14:29
34551972,3678.01,TOI-3678.01,FP,false_positive_or_alarm,4.8542148,18.9133256,10.5873,7259.3,2.0394399,0,,2025-08-20 12:05:05,2026-05-15 16:14:29
285354178,3679.01,TOI-3679.01,PC,candidate_for_prediction,5.9664078,12.7661,12.8397,5418.0,0.89,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
77031413,368.01,TOI-368.01,FP,false_positive_or_alarm,1.38665,15.5656,11.4996,5444.0,0.93,0,,2022-10-20 16:02:02,2026-05-15 16:14:29
311703724,3680.01,TOI-3680.01,APC,candidate_for_prediction,1.7054246,14.1638,11.3584,6304.0,2.24,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
285272237,3681.01,TOI-3681.01,KP,confirmed_or_known_planet,4.6401269,10.2407443,11.7524,5191.0,1.00936,0,,2024-09-08 10:08:02,2026-05-15 16:14:29
28961316,3682.01,TOI-3682.01,PC,candidate_for_prediction,3.3462671,12.1727,11.3186,5501.0,1.91,0,,2024-09-23 12:03:08,2026-05-15 16:14:29
264912889,3683.01,TOI-3683.01,PC,candidate_for_prediction,1.3697115,20.6045,11.4374,7321.3,2.15,0,,2025-09-19 12:04:41,2026-05-15 16:14:29
28873762,3684.01,TOI-3684.01,FP,false_positive_or_alarm,3.105654,17.6225,13.3483,6241.0,1.44,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
252118701,3685.01,TOI-3685.01,PC,candidate_for_prediction,4.9777448,12.9782,13.2757,5785.0,1.21,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
13533330,3686.01,TOI-3686.01,PC,candidate_for_prediction,5.0778064,14.9343184,11.2381,5262.0,1.24347,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
250803548,3687.01,TOI-3687.01,PC,candidate_for_prediction,4.4543921,,13.3901,5854.0,,2,pl_rade;st_rad,2025-11-08 12:04:05,2026-05-15 16:14:29
245509452,3688.01,TOI-3688.01,CP,confirmed_or_known_planet,3.246208,13.2996429,11.8433,6088.0,1.34548,0,,2023-03-21 12:03:03,2026-05-15 16:14:29
241135327,3689.01,TOI-3689.01,PC,candidate_for_prediction,2.4145007,15.7019,13.1033,6391.0,1.67,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
175482273,369.01,TOI-369.01,PC,candidate_for_prediction,5.4640119,,9.1692,,,3,pl_rade;st_teff;st_rad,2025-12-14 12:03:49,2026-05-15 16:14:29
409896170,2866.01,TOI-2866.01,PC,candidate_for_prediction,1.5728416,12.7462,13.2495,5288.0,0.87,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
156949982,2867.01,TOI-2867.01,PC,candidate_for_prediction,5.6392638,14.2003,13.4861,5904.0,1.65,0,,2026-02-06 12:03:31,2026-05-15 16:14:29
147857396,2868.01,TOI-2868.01,PC,candidate_for_prediction,9.3803217,12.1477,12.9702,5817.0,1.27,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
409264172,2869.01,TOI-2869.01,PC,candidate_for_prediction,1.7198076,,12.9451,8531.0,,2,pl_rade;st_rad,2025-03-05 12:03:45,2026-05-15 16:14:29
2758565,287.01,TOI-287.01,PC,candidate_for_prediction,3.7815683,17.6651495,12.3611,5807.0,1.17009,0,,2024-02-29 10:08:02,2026-05-15 16:14:29
14709225,2870.01,TOI-2870.01,PC,candidate_for_prediction,5.7655904,19.7343,12.5266,5409.0,2.0,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
155807906,2871.01,TOI-2871.01,FP,false_positive_or_alarm,0.4057204,6.83767,13.0777,6541.0,1.32,0,,2025-02-07 12:03:28,2026-05-15 16:14:29
151930063,2872.01,TOI-2872.01,FP,false_positive_or_alarm,5.2201338,14.7463,12.8919,11632.0,1.95,0,,2025-02-22 12:03:08,2026-05-15 16:14:29
119448220,2873.01,TOI-2873.01,PC,candidate_for_prediction,1.252025,,12.6587,5000.0,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
